Data Extract Date,Overdose ED Visit Year,Overdose ED Visit Drug Type,Overdose ED Visit Patient Geography Level,Overdose ED Visit Patient Geography Name,Overdose ED Visit Patient FIPS,Combined Locality,Overdose ED Visit Count,"Overdose ED Visit Rate per 10,000 visits"
4/10/2026,2024,Heroin,Locality,Middlesex,51119,No,1,1.4
4/10/2026,2021,All Drug,Locality,Madison,51113,No,22,49.3
4/10/2026,2022,All Drug,Locality,James City,51095,No,217,48.5
4/10/2026,2023,Opioid,Locality,Chesterfield County and Colonial Heights City,51041,Yes,426,22.5
4/10/2026,2024,Opioid,Locality,Dickenson,51051,No,25,26.7
4/10/2026,2021,Opioid,Locality,Newport News,51700,No,340,34
4/10/2026,2023,Heroin,Locality,"Augusta County, Staunton City, and Waynesboro City",51790,Yes,3,0.5
4/10/2026,2026,All Drug,Locality,Surry,51181,No,1,10.9
4/10/2026,2021,Opioid,Locality,Pittsylvania County and Danville City,51590,Yes,165,29.7
4/10/2026,2026,All Drug,Locality,Amherst,51009,No,22,77.1
4/10/2026,2023,Opioid,Locality,Lunenburg,51111,No,7,14.4
4/10/2026,2021,All Drug,Locality,"Rockbridge County, Buena Vista City, and Lexington City",51163,Yes,69,47.8
4/10/2026,2023,Stimulant,Locality,Wythe,51197,No,6,3.1
4/10/2026,2022,Heroin,Locality,Poquoson,51735,No,5,12.1
4/10/2026,2022,Opioid,Locality,Wise County and Norton City,51720,Yes,96,36
4/10/2026,2022,Stimulant,Locality,Spotsylvania,51177,No,9,1.4
4/10/2026,2026,Opioid,Locality,"Prince George County, Hopewell City, and Petersburg City",51730,Yes,27,9.3
4/10/2026,2026,Stimulant,Locality,Bath,51017,No,0,0
4/10/2026,2022,Stimulant,Locality,"Prince George County, Hopewell City, and Petersburg City",51670,Yes,30,3.2
4/10/2026,2022,Stimulant,Locality,Charles City,51036,No,3,8.5
4/10/2026,2026,Heroin,Locality,Pittsylvania County and Danville City,51590,Yes,0,0
4/10/2026,2022,Stimulant,Locality,"Prince George County, Hopewell City, and Petersburg City",51730,Yes,30,3.2
